	Length	Potato_1_UY	Potato_2_UY	Potato_3_UY	Control_1_UY	Control_2_UY	Control_3_UY	Location
UW163_00295	228	2	43	25	2917	3083	4857	Chromosome
UW163_00300	582	8	47	19	3784	2977	3497	Chromosome
UW163_00305	1038	11	135	57	7778	9278	9693	Chromosome
UW163_00310	189	5	39	29	2625	2994	4086	Chromosome
UW163_00315	786	3	16	17	3486	2755	1174	Chromosome
UW163_00320	1218	4	34	17	5126	3345	1727	Chromosome
UW163_00325	909	1	27	2	3042	1917	785	Chromosome
UW163_00330	1413	8	30	31	5352	3396	1522	Chromosome
UW163_00335	750	5	83	21	2995	3942	1461	Chromosome
UW163_00340	708	3	10	9	5314	4836	1441	Chromosome
UW163_00345	2109	34	60	36	12706	12232	3673	Chromosome
UW163_00350	1041	14	62	31	6781	8049	7227	Chromosome
UW163_00355	1107	167	53	24	5348	6010	5560	Chromosome
UW163_00360	2643	50	701	441	31311	39767	58135	Chromosome
UW163_00365	1221	6	92	31	9088	8439	7115	Chromosome
UW163_00370	453	2	22	7	2951	3348	2071	Chromosome
UW163_00375	486	1	59	13	3293	3949	2742	Chromosome
UW163_00380	1503	8	72	26	7137	7922	3077	Chromosome
UW163_00385	1743	60	575	341	23171	28482	37471	Chromosome
UW163_00390	570	4	37	13	1772	2048	2014	Chromosome
UW163_00395	222	4	8	7	1758	1552	914	Chromosome
UW163_00400	384	2	23	6	2037	1783	1073	Chromosome
UW163_00405	1353	40	18	11	2409	1242	1028	Chromosome
UW163_00410	2817	10	82	30	10853	8114	4485	Chromosome
UW163_00415	549	4	116	50	8013	9254	11020	Chromosome
UW163_00420	354	5	130	66	5909	7045	10999	Chromosome
UW163_00430	741	10	139	103	8576	9867	7233	Chromosome
UW163_00435	663	4	37	21	4088	2664	1536	Chromosome
UW163_00440	1707	8	119	29	7853	8625	2257	Chromosome
UW163_00445	843	8	66	31	3860	4000	3510	Chromosome
UW163_00450	666	3	14	11	2682	2208	1328	Chromosome
UW163_00455	414	1	19	50	2512	2506	1456	Chromosome
UW163_00460	2175	484	5247	1470	39448	48363	73954	Chromosome
UW163_00465	903	6	95	30	5778	4716	6726	Chromosome
UW163_00470	2250	23	119	90	14104	15467	16897	Chromosome
UW163_00475	261	0	1	9	1273	1177	1582	Chromosome
UW163_00485	639	10	80	69	4367	4674	4691	Chromosome
UW163_00490	1221	50	391	137	12291	16326	13527	Chromosome
UW163_00495	1068	1	25	28	4391	3082	2639	Chromosome
UW163_00500	561	9	261	62	5213	5988	6167	Chromosome
UW163_00505	573	89	129	101	5377	4636	5645	Chromosome
UW163_00510	207	7	54	49	1543	1681	2001	Chromosome
UW163_00515	525	3	20	10	3397	2532	987	Chromosome
UW163_00520	630	2	66	18	3695	2796	1312	Chromosome
UW163_00525	1254	1	119	56	5993	4088	1669	Chromosome
UW163_00530	885	19	454	94	3576	4709	2452	Chromosome
UW163_00535	822	2	31	26	3726	2783	1146	Chromosome
UW163_00540	1194	9	242	71	7683	8970	3808	Chromosome
UW163_00545	1383	3	26	19	8717	7897	1854	Chromosome
UW163_00550	639	556	2652	907	24302	28878	53273	Chromosome
UW163_00555	276	105	1046	1102	36141	47403	94450	Chromosome
UW163_00560	378	30	359	122	7343	10092	18086	Chromosome
UW163_00565	531	0	6	35	5329	3764	8272	Chromosome
UW163_00570	378	11	239	20	1579	1910	1792	Chromosome
UW163_00575	693	2	13	10	3252	2783	1633	Chromosome
UW163_00580	819	3	21	11	4891	2932	1980	Chromosome
UW163_00585	462	1	21	5	2117	2014	805	Chromosome
UW163_00590	906	7	32	15	3748	3430	964	Chromosome
UW163_00595	1173	3	18	8	4763	4053	1142	Chromosome
UW163_00600	486	3	23	11	3040	3041	1541	Chromosome
UW163_00605	753	16	109	46	5504	6369	4997	Chromosome
UW163_00610	1119	82	584	196	9967	13359	16421	Chromosome
UW163_00620	1116	5	82	47	7916	8862	6317	Chromosome
UW163_00625	675	7	64	27	6060	6459	7187	Chromosome
UW163_00630	774	79	828	376	24249	33312	72052	Chromosome
UW163_00635	519	144	949	639	35078	45188	100818	Chromosome
UW163_00640	1305	80	387	380	24149	29672	50164	Chromosome
UW163_00645	1017	30	267	185	13934	16995	28542	Chromosome
UW163_00650	435	57	297	113	7479	9802	18755	Chromosome
UW163_00655	693	36	279	122	8108	10342	17106	Chromosome
UW163_00660	405	23	199	62	3401	4436	5520	Chromosome
UW163_00665	753	35	319	117	8300	10245	14773	Chromosome
UW163_00670	1248	190	1970	476	23513	27793	49562	Chromosome
UW163_00675	450	22	139	57	2450	3260	3817	Chromosome
UW163_00680	621	79	505	52	917	1022	1482	Chromosome
UW163_00685	999	5	45	3	148	167	75	Chromosome
UW163_00690	666	2	7	0	4	7	6	Chromosome
UW163_00695	3906	17	77	15	42	63	56	Chromosome
UW163_00700	486	16	262	27	1802	2998	3376	Chromosome
UW163_00705	612	31	267	27	2980	4419	3629	Chromosome
UW163_00710	228	0	23	5	767	1150	290	Chromosome
UW163_00715	939	3	13	5	2654	3393	642	Chromosome
UW163_00720	624	2	7	1	347	329	50	Chromosome
UW163_00725	1842	3	15	10	7018	6535	1239	Chromosome
UW163_00730	432	0	2	0	2409	2311	557	Chromosome
UW163_00735	561	1	52	23	4183	3556	2192	Chromosome
UW163_00740	1113	6	211	63	10276	10897	14298	Chromosome
UW163_00745	654	7	134	37	5827	6546	7753	Chromosome
UW163_00750	1131	39	305	145	10526	10516	15792	Chromosome
UW163_00755	498	20	288	187	12960	13572	25949	Chromosome
UW163_00760	468	19	254	101	8229	9921	16968	Chromosome
UW163_00765	1185	19	184	74	10660	10975	14514	Chromosome
UW163_00770	1218	44	339	275	7924	8135	12896	Chromosome
UW163_00775	1512	42	175	70	9701	11207	10295	Chromosome
UW163_00780	1518	108	194	66	10211	10429	7697	Chromosome
UW163_00785	771	3	39	7	3782	3808	1920	Chromosome
UW163_00790	597	15	132	62	6832	8478	7741	Chromosome
UW163_00795	573	13	159	51	5774	6454	6358	Chromosome
UW163_00810	756	5	110	59	3015	3315	3638	Chromosome
UW163_00815	1113	20	125	28	6617	5274	4407	Chromosome
UW163_00820	882	88	556	111	7921	9076	18349	Chromosome
UW163_00825	597	6	40	18	3372	3108	2664	Chromosome
UW163_00830	192	1	6	3	1061	763	869	Chromosome
UW163_00835	795	21	167	47	6730	6717	4899	Chromosome
UW163_00840	651	12	342	122	8182	10051	14635	Chromosome
UW163_00845	333	13	156	62	5248	6163	9822	Chromosome
UW163_00850	1425	9	149	104	11685	11748	13756	Chromosome
UW163_00855	717	13	35	77	4886	3998	6008	Chromosome
UW163_00860	1317	8	25	10	6297	4563	4103	Chromosome
UW163_00865	999	29	189	65	7548	7588	10025	Chromosome
UW163_00870	1386	49	880	183	18293	21498	33407	Chromosome
UW163_00875	903	95	509	77	5973	7419	12338	Chromosome
UW163_00880	1107	86	644	106	6656	9352	12760	Chromosome
UW163_00885	828	111	556	164	7024	9968	15254	Chromosome
UW163_00890	963	2	10	5	1	3	6	Chromosome
UW163_00895	930	93	500	91	7235	10976	17787	Chromosome
UW163_00900	1269	184	509	168	12904	15531	23121	Chromosome
UW163_00905	552	115	438	140	7618	9622	15831	Chromosome
UW163_00910	879	84	784	240	10370	14107	26868	Chromosome
UW163_00915	918	36	346	154	14734	17916	33429	Chromosome
UW163_00920	1065	141	1331	449	28194	35561	62760	Chromosome
UW163_00925	852	9	105	81	8234	8204	8781	Chromosome
UW163_00930	801	9	72	33	5325	5499	6979	Chromosome
UW163_00935	1278	4	105	97	12251	11658	18502	Chromosome
UW163_00940	972	38	352	103	9382	12456	17339	Chromosome
UW163_00945	525	10	77	29	4347	4009	5008	Chromosome
UW163_00950	435	27	171	73	3248	4134	5439	Chromosome
UW163_00955	573	136	1038	356	10566	13800	27568	Chromosome
UW163_00960	759	1	64	43	7896	8570	8865	Chromosome
UW163_00965	1569	7	77	32	9062	7712	5583	Chromosome
UW163_00970	6120	65	2383	530	45975	49820	76949	Chromosome
UW163_00975	2232	287	4011	813	37050	48918	79913	Chromosome
UW163_00980	546	34	573	124	6607	7252	11423	Chromosome
UW163_00985	369	119	1690	254	7126	10012	19173	Chromosome
UW163_00990	468	399	2539	838	17226	21976	37327	Chromosome
UW163_00995	183	60	554	148	6024	9490	20332	Chromosome
UW163_01000	1302	6	116	71	12268	12423	12578	Chromosome
UW163_01005	627	62	440	275	23708	28244	44688	Chromosome
UW163_01010	852	3	82	44	6136	6948	13420	Chromosome
UW163_01015	522	1	16	17	2413	2552	2830	Chromosome
UW163_01020	186	0	1	3	900	1693	371	Chromosome
UW163_01025	177	2	16	5	1403	1617	506	Chromosome
UW163_01030	534	180	6	1	3965	3341	588	Chromosome
UW163_01035	855	2	8	6	5373	4082	754	Chromosome
UW163_01040	1881	20	55	18	6832	6013	1173	Chromosome
UW163_01045	309	0	12	2	2076	1886	273	Chromosome
UW163_01050	1194	2	19	5	5351	5481	1238	Chromosome
UW163_01055	1365	3	27	10	7781	7550	1646	Chromosome
UW163_01060	978	4	10	5	4494	4118	986	Chromosome
UW163_01065	945	3	5	15	4960	4532	801	Chromosome
UW163_01070	456	3	15	7	3020	3104	664	Chromosome
UW163_01075	1041	172	23	12	3799	4308	1029	Chromosome
UW163_01080	1326	3	15	3	2723	2286	426	Chromosome
UW163_01085	1059	1	16	6	5337	5425	924	Chromosome
UW163_01090	1239	84	335	166	8017	11956	10450	Chromosome
UW163_01095	1605	894	3630	1293	33631	39902	67082	Chromosome
UW163_01100	1065	1652	6261	2095	53751	65948	106621	Chromosome
UW163_01105	447	4	16	9	1094	1593	418	Chromosome
UW163_01110	1077	1	27	32	5380	5346	3377	Chromosome
UW163_01115	1077	21	341	62	6278	9196	9449	Chromosome
UW163_01120	1644	540	7563	1211	133895	207259	393589	Chromosome
UW163_01125	291	244	2714	379	36647	55943	104088	Chromosome
UW163_01130	348	17	115	27	1504	1734	2218	Chromosome
UW163_01135	1254	12	110	38	9839	11813	6602	Chromosome
UW163_01140	261	1	2	2	0	0	0	Chromosome
UW163_01145	825	2	3	2	7	5	1	Chromosome
UW163_01150	924	39	271	68	4797	7380	9527	Chromosome
UW163_01155	201	4	12	1	153	378	227	Chromosome
UW163_01160	435	1	5	3	6	3	6	Chromosome
UW163_01165	240	0	0	0	3	2	2	Chromosome
UW163_01170	216	0	3	1	2	0	2	Chromosome
UW163_01175	789	0	0	0	1	1	0	Chromosome
UW163_01180	1017	0	0	1	1	1	0	Chromosome
UW163_01185	342	5	14	10	128	261	200	Chromosome
UW163_01190	570	38	559	99	2568	3539	3494	Chromosome
UW163_01195	573	1	2	3	2188	1556	533	Chromosome
UW163_01200	897	2	7	5	3521	2694	741	Chromosome
UW163_01205	516	4	17	11	1591	2652	720	Chromosome
UW163_01210	918	3	50	21	3773	5869	1398	Chromosome
UW163_01215	558	6	12	6	747	1278	454	Chromosome
UW163_01220	993	8	39	6	317	356	371	Chromosome
UW163_01225	915	0	0	0	0	3	1	Chromosome
UW163_01230	324	0	0	0	0	0	0	Chromosome
UW163_01235	879	17	51	27	1045	1629	922	Chromosome
UW163_01240	672	16	86	14	1916	3547	2222	Chromosome
UW163_01245	552	56	39	23	1364	2252	1647	Chromosome
UW163_01250	642	3	43	28	3782	3657	2549	Chromosome
UW163_01255	1803	6	42	17	9389	9862	3176	Chromosome
UW163_01260	1107	33	334	125	14728	18621	20247	Chromosome
UW163_01265	885	5	32	83	5997	5819	7485	Chromosome
UW163_01270	408	1	37	11	999	1175	1970	Chromosome
UW163_01275	879	2	56	10	2554	2154	1646	Chromosome
UW163_01280	732	2	30	5	2496	2377	944	Chromosome
UW163_01285	1644	10	132	69	12762	13593	7369	Chromosome
UW163_01290	654	1	10	6	808	513	653	Chromosome
UW163_01295	1482	9	132	111	13012	11475	17984	Chromosome
UW163_01300	321	10	29	20	1476	1393	2857	Chromosome
UW163_01305	231	8	45	55	6281	4158	10991	Chromosome
UW163_01310	639	0	18	24	6745	5291	4615	Chromosome
UW163_01315	2190	23	162	57	12866	14666	7719	Chromosome
UW163_01320	366	7	49	19	1910	1385	2744	Chromosome
UW163_01325	987	9	71	14	4122	3464	1744	Chromosome
UW163_01330	1212	13	90	32	5127	6619	3468	Chromosome
UW163_01335	351	21	191	49	3183	4323	5126	Chromosome
UW163_01340	522	2	77	46	5738	6654	6118	Chromosome
UW163_01345	1278	3	15	30	7468	5568	2908	Chromosome
UW163_01350	1347	1	20	4	2838	1737	1121	Chromosome
UW163_01355	2712	213	70	47	13526	12373	5778	Chromosome
UW163_01360	1176	1	6	12	5583	4318	2341	Chromosome
UW163_01365	774	2	9	2	2703	1752	746	Chromosome
UW163_01370	843	4	61	18	4517	3819	1907	Chromosome
UW163_01375	387	15	274	140	5767	7786	7782	Chromosome
UW163_01380	1179	1	36	24	5615	4187	3366	Chromosome
UW163_01385	249	107	0	2	1217	824	226	Chromosome
UW163_01390	1542	74	42	8	9275	7036	3416	Chromosome
UW163_01395	507	5	12	9	2471	1780	973	Chromosome
UW163_01400	1044	3	183	31	6084	6900	5283	Chromosome
UW163_01405	1011	9	97	39	6703	6720	9886	Chromosome
UW163_01410	1242	2	129	93	11378	12469	18476	Chromosome
UW163_01415	510	3	86	27	3044	2299	3979	Chromosome
UW163_01420	927	9	250	180	11448	14644	18416	Chromosome
UW163_01425	1065	284	1367	534	30387	42795	78847	Chromosome
UW163_01430	1440	21	395	206	23978	28263	38877	Chromosome
UW163_01435	1212	56	540	161	17570	21381	32980	Chromosome
UW163_01440	897	12	70	15	2904	1513	1345	Chromosome
UW163_01445	324	1	13	5	228	207	195	Chromosome
UW163_01450	798	5	87	24	4309	3750	4002	Chromosome
UW163_01455	930	50	469	145	8358	11645	12985	Chromosome
UW163_01460	198	5	126	35	2506	2686	3751	Chromosome
UW163_01465	1026	14	101	53	7309	6812	7359	Chromosome
UW163_01470	441	5	98	41	5361	6197	8035	Chromosome
UW163_01475	1125	8	27	25	5572	4299	4657	Chromosome
UW163_01480	588	1	15	16	3980	3679	2973	Chromosome
UW163_01485	1707	4	59	32	8025	7050	5563	Chromosome
UW163_01490	480	3	24	10	2250	2531	2722	Chromosome
UW163_01495	714	2	9	1	0	0	5	Chromosome
UW163_01500	366	0	0	0	3	9	21	Chromosome
UW163_01505	849	1	0	2	8	15	23	Chromosome
UW163_01510	330	0	1	0	0	0	0	Chromosome
UW163_01515	4335	15	27	11	14	13	27	Chromosome
UW163_01520	1017	0	2	1	0	0	0	Chromosome
UW163_01525	789	0	0	0	0	0	0	Chromosome
UW163_01530	525	0	4	3	4	2	1	Chromosome
UW163_01535	510	2	4	3	2	4	5	Chromosome
UW163_01540	567	1	3	0	5	2	0	Chromosome
UW163_01545	765	5	17	7	5	2	17	Chromosome
UW163_01550	213	0	3	1	0	0	1	Chromosome
UW163_01555	1683	14	25	6	4	8	7	Chromosome
UW163_01560	849	0	0	0	0	1	1	Chromosome
UW163_01565	366	0	0	0	3	3	0	Chromosome
UW163_01570	318	1	6	0	1	0	2	Chromosome
UW163_01575	1017	0	0	0	0	0	0	Chromosome
UW163_01580	789	0	0	0	0	0	0	Chromosome
UW163_01585	1737	23	238	28	1293	1980	2693	Chromosome
UW163_01590	507	325	3092	631	44316	52731	133838	Chromosome
UW163_01595	522	21	157	7	643	865	826	Chromosome
UW163_01600	699	4	51	14	2327	2498	1591	Chromosome
UW163_01605	882	179	2088	582	26609	31335	66074	Chromosome
UW163_01610	1167	292	3448	655	28282	34877	74286	Chromosome
UW163_01615	627	18	363	105	7217	9821	11386	Chromosome
UW163_01620	480	8	47	17	3566	3846	2941	Chromosome
UW163_01625	1059	124	1489	381	23783	29730	61472	Chromosome
UW163_01630	699	4	53	22	3212	2294	3072	Chromosome
UW163_01635	1542	7	36	29	8281	7829	3465	Chromosome
UW163_01640	318	1	4	0	1453	1284	303	Chromosome
UW163_01645	1704	23	1832	61	15446	17163	12616	Chromosome
UW163_01655	1374	7	12	4	2	8	3	Chromosome
UW163_01660	1158	10	23	18	19	8	18	Chromosome
UW163_01665	219	0	4	2	0	0	0	Chromosome
UW163_01670	372	1	2	2	0	1	0	Chromosome
UW163_01675	1170	3	14	4	7	4	11	Chromosome
UW163_01680	213	1	11	5	610	826	212	Chromosome
UW163_01685	1197	1	31	15	5734	4887	3213	Chromosome
UW163_01690	561	3	11	0	2987	1893	1088	Chromosome
UW163_01695	741	1	43	7	4129	4981	2771	Chromosome
UW163_01700	918	16	48	22	6369	5820	3604	Chromosome
UW163_01705	897	1	42	23	5900	4767	2373	Chromosome
UW163_01710	1044	3	94	37	5948	5177	7939	Chromosome
UW163_01715	1662	30	283	148	11576	11513	21779	Chromosome
UW163_01720	1050	15	68	15	3115	1980	839	Chromosome
UW163_01725	2508	6	45	16	10552	8222	2111	Chromosome
UW163_01730	1413	5	18	15	5232	2804	1189	Chromosome
UW163_01735	1737	12	54	28	11235	9836	5657	Chromosome
UW163_01740	906	0	27	12	3907	4104	1785	Chromosome
UW163_01745	909	15	127	22	6022	6773	3937	Chromosome
UW163_01750	1002	1	27	16	4743	3042	4376	Chromosome
UW163_01755	357	1	124	110	5173	6523	7812	Chromosome
UW163_01760	1395	60	456	141	11808	13690	12615	Chromosome
UW163_01765	993	15	173	31	7160	7558	5792	Chromosome
UW163_01770	765	11	114	33	3690	3447	3952	Chromosome
UW163_01775	1302	284	13	2	3057	2031	251	Chromosome
UW163_01780	897	60	411	142	6481	7454	12096	Chromosome
UW163_01785	1512	56	34	14	4557	3835	3950	Chromosome
UW163_01790	987	59	451	153	12565	15904	24639	Chromosome
UW163_01795	654	4	25	15	2068	1790	2456	Chromosome
UW163_01800	2094	26	180	119	18782	15967	22687	Chromosome
UW163_01805	600	5	83	24	3606	3888	5135	Chromosome
UW163_01810	753	17	183	33	3817	4996	6248	Chromosome
UW163_01815	867	8	75	21	4289	3549	3522	Chromosome
UW163_01820	408	25	146	34	3066	3165	3674	Chromosome
UW163_01825	906	5	53	18	4315	3028	3660	Chromosome
UW163_01830	846	19	98	17	4442	3800	4234	Chromosome
UW163_01835	1017	5	38	24	5507	3925	4161	Chromosome
UW163_01840	1488	26	353	136	12753	14388	24723	Chromosome
UW163_01845	2436	83	860	437	38338	42431	70104	Chromosome
UW163_01850	1059	2	50	35	7250	6558	6521	Chromosome
UW163_01855	729	1	12	10	2668	1993	1718	Chromosome
UW163_01860	327	0	12	6	1496	1489	1482	Chromosome
UW163_01865	726	2	8	15	3872	2144	2896	Chromosome
UW163_01870	2079	13	155	75	14469	11104	11817	Chromosome
UW163_01875	1377	4	70	36	9603	7600	8952	Chromosome
UW163_01880	1236	1	11	16	2618	1603	2188	Chromosome
UW163_01885	1272	5	16	27	8111	6301	4711	Chromosome
UW163_01890	1071	21	238	123	10048	11260	12910	Chromosome
UW163_01895	234	22	96	16	1428	1843	1903	Chromosome
UW163_01900	1575	45	641	223	18564	20688	26737	Chromosome
UW163_01905	546	1	109	21	3237	3817	3626	Chromosome
UW163_01910	1137	9	63	30	8851	9711	3849	Chromosome
UW163_01915	582	23	88	49	4871	5983	5760	Chromosome
UW163_01920	1074	12	127	64	9954	9324	9905	Chromosome
UW163_01925	714	5	112	49	4496	5863	5113	Chromosome
UW163_01930	681	1	43	29	3370	2608	3520	Chromosome
UW163_01935	636	8	113	35	3753	4022	5060	Chromosome
UW163_01940	501	3	50	26	3532	4058	4306	Chromosome
UW163_01945	1272	53	493	175	13601	17789	23336	Chromosome
UW163_01950	1161	13	81	42	11875	11452	14617	Chromosome
UW163_01955	375	399	2324	573	10226	12881	24778	Chromosome
UW163_01960	405	60	523	75	4068	5635	7633	Chromosome
UW163_01965	756	38	232	67	4658	5112	5236	Chromosome
UW163_01970	393	409	4958	1362	38448	52942	149266	Chromosome
UW163_01975	429	1690	15151	2520	79541	98075	295480	Chromosome
UW163_01980	453	19	239	58	4385	5352	6772	Chromosome
UW163_01985	816	108	28	36	5953	5454	3068	Chromosome
UW163_01990	1035	20	100	61	8749	7784	7649	Chromosome
UW163_01995	1299	3	49	27	6527	5189	5159	Chromosome
UW163_02000	288	13	33	13	1983	1910	2639	Chromosome
UW163_02005	831	49	333	119	7737	10481	7416	Chromosome
UW163_02010	735	48	409	55	8977	10952	19771	Chromosome
UW163_02015	684	31	414	40	3420	5224	8474	Chromosome
UW163_02020	729	40	445	43	7243	10219	17132	Chromosome
UW163_02025	897	463	4259	506	66470	81022	168490	Chromosome
UW163_02030	1302	171	2049	672	46457	54958	150017	Chromosome
UW163_02035	945	9	158	49	7907	9430	9314	Chromosome
UW163_02040	1827	24	142	61	10306	11041	7064	Chromosome
UW163_02045	420	7	44	20	3537	3345	3662	Chromosome
UW163_02050	765	26	343	131	14057	14728	25241	Chromosome
UW163_02055	1200	67	1507	288	27286	31097	57198	Chromosome
UW163_02060	2517	173	3465	750	68730	81190	128600	Chromosome
UW163_02065	1788	257	3720	683	44367	57586	83909	Chromosome
UW163_02070	591	57	864	254	13847	18807	29253	Chromosome
UW163_02075	1665	9	51	57	7539	6483	6367	Chromosome
UW163_02080	1269	7	29	48	7220	6154	7635	Chromosome
UW163_02085	747	15	82	63	4745	5237	6139	Chromosome
UW163_02090	474	28	237	84	7982	8505	12340	Chromosome
UW163_02095	870	35	171	87	5970	6522	10721	Chromosome
UW163_02100	1869	216	2230	503	28542	35012	65146	Chromosome
UW163_02105	738	71	458	121	8630	10194	14924	Chromosome
UW163_02110	342	27	311	72	3487	3553	5044	Chromosome
UW163_02115	1440	27	383	118	11845	13826	9958	Chromosome
UW163_02120	630	5	10	6	3142	2236	1914	Chromosome
UW163_02125	1578	8	133	44	9976	10200	10937	Chromosome
UW163_02130	654	11	44	19	4038	2555	3160	Chromosome
UW163_02135	1047	210	1665	730	57587	59955	127239	Chromosome
UW163_02140	732	100	1248	338	20824	29389	54280	Chromosome
UW163_02145	417	4	161	55	6284	6779	13302	Chromosome
UW163_02150	1845	67	240	154	10916	12476	14949	Chromosome
UW163_02155	444	0	27	7	2331	1639	2017	Chromosome
UW163_02160	4047	204	2288	759	40018	51518	68003	Chromosome
UW163_02165	582	12	72	41	3711	4491	5291	Chromosome
UW163_02170	1248	3	56	25	9814	9805	6173	Chromosome
UW163_02175	480	3	24	15	2269	2495	1616	Chromosome
UW163_02180	924	5	52	35	6453	7081	3953	Chromosome
UW163_02185	1524	80	485	202	16320	21769	35289	Chromosome
UW163_02190	834	7	92	85	7013	8780	7902	Chromosome
UW163_02195	1341	8	99	13	7363	7961	2353	Chromosome
UW163_02200	558	0	11	4	3514	3719	924	Chromosome
UW163_02205	705	40	10	4	3419	3195	959	Chromosome
UW163_02210	432	2	16	11	3322	2937	1698	Chromosome
UW163_02215	1281	25	74	52	3413	4320	4299	Chromosome
UW163_02220	1722	6	126	21	10833	11504	4861	Chromosome
UW163_02225	510	9	77	31	5322	6044	7749	Chromosome
UW163_02230	804	3	68	32	5824	5722	2896	Chromosome
UW163_02235	957	4	84	35	6999	6969	5937	Chromosome
UW163_02240	435	1	20	39	2395	2128	4529	Chromosome
UW163_02245	414	5	120	21	3093	2473	5368	Chromosome
UW163_02250	774	8	176	69	8048	8033	12545	Chromosome
UW163_02255	717	7	73	40	6027	6130	6744	Chromosome
UW163_02260	261	38	215	53	4089	4876	6938	Chromosome
UW163_02265	657	2	6	2	2420	1318	1103	Chromosome
UW163_02270	1692	2	29	13	4525	2287	1490	Chromosome
UW163_02275	975	1	7	3	5034	3023	1144	Chromosome
UW163_02280	648	1	23	9	2545	2378	1403	Chromosome
UW163_02285	2502	13	47	15	6951	5104	3202	Chromosome
UW163_02290	864	4	16	10	2848	1878	944	Chromosome
UW163_02295	1227	7	28	19	8514	6298	5101	Chromosome
UW163_02300	822	1	21	10	1471	1142	911	Chromosome
UW163_02305	510	0	3	7	1951	1118	1150	Chromosome
UW163_02310	258	3	42	18	2863	2769	3161	Chromosome
UW163_02320	1080	15	91	25	4549	5715	3610	Chromosome
UW163_02325	816	16	196	23	3801	4926	3812	Chromosome
UW163_02330	537	75	587	247	9908	11398	28691	Chromosome
UW163_02335	1164	16	172	79	12129	12102	14109	Chromosome
UW163_02340	2865	39	446	214	29209	36150	34335	Chromosome
UW163_02345	486	3	61	25	4795	4930	5417	Chromosome
UW163_02350	1665	33	257	108	8087	8448	8742	Chromosome
UW163_02360	609	41	228	79	6961	8663	10543	Chromosome
UW163_02365	579	33	407	158	5393	5812	6593	Chromosome
UW163_02370	405	8	222	54	2587	2511	2537	Chromosome
UW163_02375	1980	50	192	48	10228	9326	9943	Chromosome
UW163_02380	984	11	133	35	8089	8201	14052	Chromosome
UW163_02385	588	1	46	26	4311	4274	5547	Chromosome
UW163_02390	633	19	119	58	4833	5696	6347	Chromosome
