	Length	Tomato_1_UW	Tomato_2_UW	Tomato_3_UW	Banana_1_UW	Banana_2_UW	Banana_3_UW	Control_1_UW	Control_2_UW	Control_3_UW	Minimal_1_UW	Minimal_2_UW	Minimal_3_UW	Minimal_1_IB	Minimal_2_IB	Minimal_3_IB	Control_1_IB	Control_2_IB	Control_3_IB	Tomato_1_IB	Tomato_2_IB	Tomato_3_IB	Melon_1_IB	Melon_2_IB	Melon_3_IB	Location
UW163_00585	462	288	295	322	484	587	563	393	376	391	445	530	264	379	420	394	303	303	383	120	211	127	138	135	320	Chromosome
UW163_00590	906	308	341	373	583	610	536	323	369	384	561	659	400	437	605	560	296	267	281	169	404	225	153	164	365	Chromosome
UW163_00595	1173	150	201	181	218	249	224	197	192	208	261	411	212	190	210	183	125	160	158	96	439	196	66	85	145	Chromosome
UW163_00600	486	400	424	474	673	714	667	549	566	547	625	822	337	587	380	448	341	344	413	174	371	235	231	250	509	Chromosome
UW163_00605	753	2148	2303	2523	2434	3135	2949	2396	2314	2949	1139	1479	815	762	1087	1232	1153	1147	1269	805	2314	1397	1210	1153	2128	Chromosome
UW163_00610	1119	9255	10311	12003	4309	7381	6589	5354	6726	9770	4542	4994	3430	4536	6237	5417	3933	3948	3727	2745	6381	3747	4446	4328	7305	Chromosome
UW163_00620	1116	740	892	903	1241	2027	1794	1717	1871	1675	989	1164	527	892	896	872	1316	1257	1376	389	648	417	489	354	1180	Chromosome
UW163_00625	675	697	904	820	1009	1587	1427	1716	1647	1846	1129	1321	740	1166	1135	1033	1563	1650	1519	340	510	317	452	354	1049	Chromosome
UW163_00630	774	5274	5384	5343	4182	5899	8546	15552	15853	19477	4750	4809	3045	4154	5620	5384	9843	10628	11043	2325	5379	3600	3605	3516	7183	Chromosome
UW163_00635	519	8386	10344	9376	14668	14707	16661	25381	27415	27359	9922	10052	7074	11274	14377	12382	16559	16540	17024	4412	9451	6158	6443	7295	15077	Chromosome
UW163_00640	1305	3069	3884	3357	5400	6171	5617	8739	9134	9343	4665	5541	2911	5734	4970	4126	5603	6380	6334	1364	2419	1503	2256	2027	5613	Chromosome
UW163_00645	1017	1759	1928	1929	2837	2708	2710	3213	3439	3698	2386	2718	1321	1968	1984	1932	1879	1750	2000	737	1338	859	1328	1156	2991	Chromosome
UW163_00650	435	2093	2222	2268	2781	3344	3768	3864	4253	5793	3355	3534	2248	2551	3300	3579	2827	2721	3202	1023	2425	1711	2212	2027	3622	Chromosome
UW163_00655	693	1864	2215	2109	2625	3532	3810	5744	6246	7204	4576	5134	3264	3471	3963	3318	4627	4064	4041	976	1205	915	1550	1070	3189	Chromosome
UW163_00660	405	959	899	1078	2366	2677	2400	1803	2082	2401	1999	2290	1510	1169	1983	1887	1626	1287	1493	446	1265	825	716	756	1254	Chromosome
UW163_00665	753	2674	3267	2965	10663	9770	9320	5924	6031	6606	5923	6307	3868	4974	6352	7400	6115	5711	6044	1447	4757	3330	1810	2010	3552	Chromosome
UW163_00670	1248	10434	11255	11154	13102	15693	18516	29998	27865	34780	17588	18372	12983	22638	27478	27450	41196	40140	35647	5633	11757	7650	6343	6584	11723	Chromosome
UW163_00675	450	1690	1659	1829	1309	1848	2155	2051	2407	3273	3470	3097	2131	3104	3842	4198	2884	2846	3450	722	2229	1457	920	908	1596	Chromosome
UW163_00680	621	4981	4526	5398	4393	4820	3985	3002	3777	4944	5878	6628	4639	3501	6675	7213	6598	4778	5372	3773	10233	6833	2954	3664	4120	Chromosome
UW163_00685	999	2230	2080	2540	1472	1935	1957	2311	2842	3697	2940	3871	2724	1589	2673	2240	3650	2916	2660	2178	3738	2574	1380	1693	2013	Chromosome
UW163_00690	666	1894	1867	2165	746	960	1090	2213	2480	3502	2285	2664	2119	1644	2776	2228	3741	3390	2772	1760	2870	1920	1225	1579	1919	Chromosome
UW163_00695	3906	10356	10161	11964	8567	9190	9063	13341	15356	23011	11923	13289	10803	8584	14129	12339	20274	18861	16404	9548	18297	12672	6144	8454	9156	Chromosome
UW163_00700	486	948	940	1075	901	1122	928	1592	1848	3038	1362	1379	1205	973	1667	1397	2231	1981	1815	695	1556	1011	601	772	804	Chromosome
UW163_00705	612	1161	1092	1402	965	1105	1068	1709	1925	3126	1472	1706	1257	1233	1828	1512	1989	1830	1975	880	2235	1415	651	824	1089	Chromosome
UW163_00710	228	113	132	176	157	137	124	98	130	171	124	159	113	67	96	86	150	95	108	148	242	146	59	93	92	Chromosome
UW163_00715	939	77	77	99	165	174	146	111	133	155	184	269	127	101	92	112	84	82	88	56	90	69	44	58	94	Chromosome
UW163_00720	624	71	47	55	96	88	77	71	84	94	102	151	75	55	55	57	48	61	46	29	55	30	22	28	49	Chromosome
UW163_00725	1842	171	171	208	235	293	206	277	266	309	412	557	252	218	213	201	169	211	223	106	121	72	106	81	239	Chromosome
UW163_00730	432	58	60	73	127	107	86	112	115	88	107	209	70	73	50	59	63	62	67	24	31	23	31	37	74	Chromosome
UW163_00735	561	264	259	314	809	635	467	369	386	318	328	513	180	277	181	164	137	162	218	74	173	137	124	128	329	Chromosome
UW163_00740	1113	2208	2563	2955	4438	5484	4872	3658	3595	4268	3311	4289	2584	3225	3568	3004	3138	2699	2442	1381	2861	1954	1681	1906	3580	Chromosome
UW163_00745	654	1562	2031	1949	4802	4522	4175	3119	3239	3765	2548	2916	1682	2329	2201	2199	2752	2793	2643	851	2153	1599	1155	1240	2371	Chromosome
UW163_00750	1131	2770	3373	3414	5995	6568	6595	5400	5125	5218	2867	3179	1852	1974	2544	2320	5115	4817	4343	1280	3422	2258	2062	2002	4320	Chromosome
UW163_00755	498	2687	3138	2810	5627	6363	6550	7451	5993	6675	1938	2141	1183	1482	1813	1524	5766	5903	5532	1390	3231	2093	1773	1733	4584	Chromosome
UW163_00760	468	2292	2944	2710	3290	5383	5345	5492	5273	5445	1538	1726	813	1014	993	1149	3240	3785	4075	1149	2123	1386	1434	1165	3839	Chromosome
UW163_00765	1185	2300	2792	2739	5558	6225	6114	4107	3806	3915	2796	3368	1637	2544	3330	3384	2195	2494	2778	1062	2257	1402	1545	1605	3946	Chromosome
UW163_00770	1218	13708	16701	14620	48511	52357	53692	14913	15714	18132	32431	33118	20645	40835	49559	45408	16198	15550	14670	7577	24238	16233	20309	19076	38095	Chromosome
UW163_00775	1512	1841	2163	2227	3134	4021	3831	3091	3068	3535	2858	2925	1870	2667	3090	3277	3123	3136	2924	906	2059	1328	1116	1055	1990	Chromosome
UW163_00780	1518	1204	1513	1454	4492	4671	3938	3251	3167	3617	2351	2753	1558	1888	2046	1845	2240	2167	2265	583	1271	884	906	945	1877	Chromosome
UW163_00785	771	476	537	567	688	788	696	816	823	761	811	1012	480	937	831	856	402	420	461	156	383	226	204	212	501	Chromosome
UW163_00790	597	1635	1849	1872	2179	2369	2342	2815	3348	3996	3548	4042	2535	3668	3558	3276	2395	2543	2561	887	1884	1311	1039	1144	2077	Chromosome
UW163_00795	573	1486	1538	1559	1511	1959	2093	2897	2927	3698	2622	2916	1691	2523	2807	2625	2009	1992	2161	680	1041	698	794	755	1813	Chromosome
UW163_00810	756	733	820	808	1240	1681	1513	1744	1616	1686	527	644	317	321	427	410	1395	1433	1595	344	853	587	470	439	932	Chromosome
UW163_00815	1113	463	576	583	1853	1618	1344	1337	1114	1026	403	518	229	259	235	250	707	712	804	260	476	363	360	335	860	Chromosome
UW163_00820	882	5114	6152	5869	19577	14944	14034	9995	9925	12095	8059	8412	6565	6827	10536	9182	17208	14315	13324	3849	10115	7569	5266	5708	9368	Chromosome
UW163_00825	597	395	451	466	1083	966	816	671	606	581	697	831	416	802	518	582	650	596	581	153	412	274	288	305	723	Chromosome
UW163_00830	192	113	102	147	225	176	146	207	240	186	159	242	66	159	52	45	89	100	142	40	29	10	60	58	181	Chromosome
UW163_00835	795	1012	1042	1430	1444	1467	1343	1939	2509	2756	1163	1464	926	712	1033	964	1216	1044	1030	572	1217	818	922	1090	1991	Chromosome
UW163_00840	651	2505	2772	2918	3938	5001	4658	7800	7363	8144	2606	3025	1725	2318	2814	2443	6835	7053	6514	1263	2421	1537	1898	1906	4122	Chromosome
UW163_00845	333	944	946	1132	2108	2426	2348	3024	2647	3194	760	798	464	553	693	898	1766	1742	2012	408	847	600	695	643	1459	Chromosome
UW163_00850	1425	1142	1281	1423	1729	2460	2201	4524	4275	4259	850	1088	563	618	726	700	2590	2751	2896	533	1212	772	817	815	2002	Chromosome
UW163_00855	717	386	419	451	939	1039	896	1175	1206	1301	513	688	359	317	384	400	755	773	850	209	411	296	365	379	848	Chromosome
UW163_00860	1317	296	366	321	939	692	516	900	733	702	295	325	192	301	272	259	434	428	485	137	341	203	119	158	362	Chromosome
UW163_00865	999	923	979	950	2155	2243	1934	2599	2279	2425	839	917	494	832	736	1021	1162	1273	1559	369	964	593	497	553	1156	Chromosome
UW163_00870	1386	4618	5539	5501	9702	10191	9913	12563	13896	17266	6234	6204	4437	6710	8444	8318	12926	13067	11790	2597	7661	5090	3504	3943	6346	Chromosome
UW163_00875	903	3651	3737	3837	5161	5545	5823	8157	8781	12178	4040	3986	3224	3890	6390	5825	10387	9759	8470	2333	6923	4559	2611	3145	4287	Chromosome
UW163_00880	1107	2820	3065	3043	5835	5728	5397	6145	6526	8738	3186	3335	2666	3136	4772	4409	9272	8237	6896	1949	5124	3681	1971	2347	3273	Chromosome
UW163_00885	828	2398	2228	2289	4845	4842	4794	4591	5105	7848	3286	3285	2392	2375	3735	3911	5610	5101	4990	1380	4446	3026	1665	1766	2756	Chromosome
UW163_00890	963	2204	2056	2334	4090	4158	3872	2639	3521	5048	2268	2316	1910	1523	3223	2931	3586	2969	3296	1432	4455	3189	1523	1796	2112	Chromosome
UW163_00895	930	2327	2640	2602	4759	5133	5304	4069	4574	6360	2754	2483	2051	2035	3140	3372	4930	4725	4540	1491	2934	2138	1707	1963	3031	Chromosome
UW163_00900	1269	2047	2422	2324	6673	4743	4499	4455	4533	5113	1539	1657	1085	1108	1496	1636	3948	3679	3689	1219	3366	2233	1437	1744	2894	Chromosome
UW163_00905	552	3035	3458	3317	8426	6770	6798	6784	7467	9221	2773	2877	1609	2116	2425	2968	5248	5551	6223	1452	4195	3086	1992	2174	4591	Chromosome
UW163_00910	879	4731	5475	4966	9215	9753	10507	12109	12832	15436	4729	4890	3412	3688	5372	5707	12034	11795	10893	2877	7751	5372	3699	4137	6999	Chromosome
UW163_00915	918	2028	2443	2397	4540	4398	3763	5200	4209	3411	1575	1919	815	1525	1142	1310	2169	2460	2974	813	1754	1022	1064	1100	3144	Chromosome
UW163_00920	1065	8201	10100	9126	20331	18755	19029	17054	16221	16411	11901	13419	7686	9902	11089	11730	16432	15343	15218	4961	12210	8184	6469	7397	14934	Chromosome
UW163_00925	852	1501	1692	1707	4036	4191	3712	2101	2186	2623	2539	2840	1870	2616	3438	2882	1950	1814	1798	835	2297	1508	1127	1225	2129	Chromosome
UW163_00930	801	1081	1507	1348	3023	2621	2114	2357	2247	1905	1400	1590	805	1887	1330	1305	1278	1288	1699	409	899	527	527	612	1682	Chromosome
UW163_00935	1278	2896	3135	3432	5216	6067	5268	5560	5588	6691	4361	5136	2817	5658	4891	4304	4483	4939	5219	1017	2379	1541	1618	1655	3454	Chromosome
UW163_00940	972	3417	3690	3769	5757	6259	6389	6031	6386	8145	6325	6654	4903	6599	8706	8559	6135	5468	5866	1350	4379	2867	2475	2561	4342	Chromosome
UW163_00945	525	1338	1379	1466	3048	2995	2658	1696	1851	2134	2016	2374	1289	2481	2146	2204	1344	1417	1660	390	1201	773	690	741	1662	Chromosome
UW163_00950	435	2209	2672	2959	3708	4186	4354	2281	2787	3191	3487	3828	2290	4411	3956	3803	2316	2076	2327	1067	2572	1637	1478	1663	3139	Chromosome
UW163_00955	573	10280	9951	12297	10089	11972	14413	7962	12272	15048	13132	13560	9663	14704	17300	16620	10152	10740	10359	3963	12487	8100	7110	7589	12334	Chromosome
